"year","qtr","date","response_id","identifier","interview_date","airport","country_of_residence","country_of_residence_group","au_state_of_origin","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","arrival_method","arrival_date","no_days_in_nz","no_days_in_nz_unknown","no_selection_itinerary","package_deal","pkg_included_airfare","country_package_started","trip_start_country","incl_stay_other_country","no_nights_other_country","single_or_others","no_people_over_15","no_people_under_15","currency","other_purchase","age_range","visited_ni","visited_si","travel_type","main_transport_type","sustainability_considered","treated_spend","population_weight","psu","vem_pop_weight"
2023,2,"2023-06-30","GEN24_1027658","Q2_2023_1_567","2023-05-14","Auckland","Australia","Australia","New South Wales","Male","No","Visiting friends / relatives","To visit family","Auckland airport","2023-05-11",3,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"65 - 69","1",NA,"Independent Traveller",NA,"Never",1212.80025,462.1554953851952,"Auckland to Sydney, Melbourne",265.40384148968695
2023,2,"2023-06-30","GEN24_1027659","Q2_2023_3_368","2023-05-12","Christchurch","Australia","Australia","New South Wales","Male","No","Holiday / vacation","To go sightseeing","Christchurch airport","2023-05-05",7,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"50 - 54",NA,"1","Independent Traveller","Rental campervan / motor-home","Sometimes",2711.282337,85.6766277360585,"Christchurch to Sydney, Melbourne",319.4775115711342
2023,2,"2023-06-30","GEN24_1027660","Q2_2023_3_370","2023-05-14","Christchurch","Australia","Australia",NA,"Female","No","Holiday / vacation","Just for the holiday","Christchurch airport","2023-05-03",11,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",6,0,"NZD - New Zealand dollar","No","50 - 54",NA,"1","Independent Traveller",NA,NA,2484,149.35979711175293,"Christchurch to Sydney, Melbourne",270.8716945522001
2023,2,"2023-06-30","GEN24_1027666","Q2_2023_1_569","2023-05-15","Auckland","Australia","Australia",NA,"Female","No","Holiday / vacation","Just for the holiday","Auckland airport","2023-05-01",14,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"60 - 64",NA,NA,"Independent Traveller",NA,NA,400,282.8658200889154,"Auckland to Sydney, Melbourne",258.5054438487082
2023,2,"2023-06-30","GEN24_1027669","Q2_2023_1_570","2023-05-15","Auckland","Australia","Australia","South Australia","Male","No","Holiday / vacation","Just for the holiday","Christchurch airport","2023-04-30",15,NA,NA,"Yes","No","Australia","Australia","No",NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"60 - 64","1","1","Tour Group","Tour bus","Sometimes",4939.119359,469.24313127747513,"Auckland to other Australia",304.89223344250854
2023,2,"2023-06-30","GEN24_1027671","Q2_2023_1_571","2023-05-15","Auckland","Japan","Japan",NA,"Female","No","Visiting friends / relatives","To care for a family member or friend","Auckland airport","2023-05-06",9,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"60 - 64","1",NA,"Independent Traveller",NA,"Most of the time",561.0453333,172.4062786729801,"Auckland to Japan",123.17037317595307
2023,2,"2023-06-30","GEN24_1027675","Q2_2023_1_572","2023-05-15","Auckland","Japan","Japan",NA,"Male","Yes","Business",NA,"Auckland airport","2023-05-09",6,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"45 - 49","1",NA,"Independent Traveller","Bus service between towns / cities","Rarely",2016.698667,129.65815805540618,"Auckland to Japan",117.66496959847146
2023,2,"2023-06-30","GEN24_1027684","Q2_2023_1_573","2023-05-15","Auckland","Australia","Australia","New South Wales","Female","No","Visiting friends / relatives","To visit family","Auckland airport","2023-05-05",10,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"60 - 64","1",NA,"Independent Traveller",NA,"Sometimes",1500,278.08744385195035,"Auckland to Sydney, Melbourne",258.5054438487082
2023,2,"2023-06-30","GEN24_1027694","Q2_2023_1_574","2023-05-15","Auckland","Netherlands","Rest of Europe",NA,"Male","No","Visiting friends / relatives","To visit family","Auckland airport","2023-04-22",23,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",1,0,"NZD - New Zealand dollar",NA,"55 - 59","1",NA,"Tour Group","Bicycle","Rarely",1600,418.997308175235,"Auckland to Singapore, Doha, Dubai",450.38203251139424
2023,2,"2023-06-30","GEN24_1027696","Q2_2023_1_575","2023-05-15","Auckland","Japan","Japan",NA,"Female","No","Visiting friends / relatives","To visit family","Auckland airport",NA,4,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"50 - 54","1",NA,"Independent Traveller",NA,NA,2817.013333,79.91936881330571,"Auckland to Singapore, Doha, Dubai",92.00169706819429
2023,2,"2023-06-30","GEN24_1027700","Q2_2023_1_576","2023-05-15","Auckland","Germany","Germany",NA,"Female","Yes","Holiday / vacation","To go sightseeing","Auckland airport","2022-08-18",270,"Don't recall",NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"Under 20","1",NA,"Independent Traveller","Car or van owned by you / family / friend(s) / company",NA,13500,109.56268623196641,"Auckland to Singapore, Doha, Dubai",83.4669219076793
2023,2,"2023-06-30","GEN24_1027705","Q2_2023_1_577","2023-05-15","Auckland","Singapore","Rest of Asia",NA,"Male","No","Visiting friends / relatives","To visit family","Auckland airport","2023-05-06",9,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"70 - 74","1",NA,"Independent Traveller",NA,"Always",3344.399203,499.27100609245184,"Auckland to Singapore, Doha, Dubai",738.6854237000381
2023,2,"2023-06-30","GEN24_1027711","Q2_2023_3_371","2023-05-15","Christchurch","England","UK",NA,"Male","No","Visiting friends / relatives","To visit family","Christchurch airport","2023-04-25",20,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"75 or older",NA,"1","Independent Traveller",NA,"Most of the time",1381.18981,63.70728543918518,"Christchurch to Singapore, Dubai",124.92706890773226
2023,2,"2023-06-30","GEN24_1027715","Q2_2023_1_578","2023-05-15","Auckland","Australia","Australia","New South Wales","Female","No","Holiday / vacation","For some other reason (please specify)","Auckland airport","2023-05-12",3,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"40 - 44","1",NA,"Independent Traveller","Car or van owned by you / family / friend(s) / company","Not sure",328.8036233,415.2664685424114,"Auckland to Sydney, Melbourne",303.85023291675043
2023,2,"2023-06-30","GEN24_1027718","Q2_2023_1_579","2023-05-15","Auckland","Germany","Germany",NA,"Female","Yes","Other","For some other reason","Auckland airport","2022-10-12",215,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"25 - 29","1",NA,"Independent Traveller","Hitch-hiking","Rarely",12100,239.33537529918547,"Auckland to Sydney, Melbourne",88.22975205792788
2023,2,"2023-06-30","GEN24_1027721","Q2_2023_1_580","2023-05-15","Auckland","Australia","Australia","New South Wales","Female","No","Visiting friends / relatives","To visit family","Auckland airport","2023-05-12",3,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"55 - 59","1",NA,"Independent Traveller",NA,"Most of the time",215.6089333,350.76128513763433,"Auckland to Sydney, Melbourne",258.5054438487082
2023,2,"2023-06-30","GEN24_1027726","Q2_2023_1_581","2023-05-15","Auckland","Malaysia","Rest of Asia",NA,"Male","Yes","Holiday / vacation","To go sightseeing","Auckland airport","2023-05-03",12,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"55 - 59","1",NA,"Independent Traveller","Rental campervan / motor-home","Most of the time",4309,734.2333149927563,"Auckland to Singapore, Doha, Dubai",450.38203251139424
2023,2,"2023-06-30","GEN24_1027730","Q2_2023_2_138","2023-05-15","Wellington","Australia","Australia","Queensland","Male","No","Visiting friends / relatives","To visit family","Wellington airport","2023-05-11",4,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"70 - 74",NA,"1","Independent Traveller",NA,"Never",610,98.86483053700668,"Wellington to all airports",265.40384148968695
